,Product Name,Product Price,Rating,Number of Reviews,Product URL,Product Description,Manufacturer
37,COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre College Bag,"1,409",4.2 out of 5 stars,"1,422",/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,,
38,,,,,/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,,
39,COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre College Bag,"1,409",4.2 out of 5 stars,"1,422",/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,,
40,,"1,409",,M.R.P:,/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,,
41,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,699,4.1 out of 5 stars,"4,607",/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,,
42,,,,,/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,,
43,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,699,4.1 out of 5 stars,"4,607",/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,,
44,,699,,M.R.P:,/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,,
45,Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,907,4.2 out of 5 stars,345,/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,,
46,,,,,/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,,
47,Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,907,4.2 out of 5 stars,345,/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,,
48,,907,,M.R.P:,/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,,
49,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0 out of 5 stars,"5,628",/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,,
50,,,,,/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,,
51,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679,4.0 out of 5 stars,"5,628",/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75,,
52,,679,,M.R.P:,/gp/goldbox/,,
53,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,350,4.0 out of 5 stars,333,/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black : Amazon.in: Fashion,Visit the Gear Store
54,,,,,/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black : Amazon.in: Fashion,Visit the Gear Store
55,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,350,4.0 out of 5 stars,333,/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,,
56,,350,,M.R.P:,/gp/goldbox/,,
57,F Gear Spartan 24 Ltrs Black Laptop Backpack (3179),623,4.0 out of 5 stars,110,/F-Gear-Spartan-Black-Laptop-Backpack/dp/B07X82WYGL,,
58,,,,,/F-Gear-Spartan-Black-Laptop-Backpack/dp/B07X82WYGL,,
59,F Gear Spartan 24 Ltrs Black Laptop Backpack (3179),623,4.0 out of 5 stars,110,/F-Gear-Spartan-Black-Laptop-Backpack/dp/B07X82WYGL,,
60,,623,,M.R.P:,/F-Gear-Spartan-Black-Laptop-Backpack/dp/B07X82WYGL,,
61,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,819,3.9 out of 5 stars,"10,105",/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31,,
62,,,,,/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31,,
63,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,819,3.9 out of 5 stars,"10,105",/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31,,
64,,819,,M.R.P:,/gp/goldbox/,,
65,,,,bags for girls,/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=bt7BV&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=B77G7YVW1N4HY5ERT0ZW&pd_rd_wg=u3r8p&pd_rd_r=013783ab-d370-4d83-bb84-e5a191c8f086&qid=1692725196,,
66,,,,bags for girls,/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=bt7BV&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=B77G7YVW1N4HY5ERT0ZW&pd_rd_wg=u3r8p&pd_rd_r=013783ab-d370-4d83-bb84-e5a191c8f086&qid=1692725196,,
67,,,,bags for girls,/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=bt7BV&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=B77G7YVW1N4HY5ERT0ZW&pd_rd_wg=u3r8p&pd_rd_r=013783ab-d370-4d83-bb84-e5a191c8f086&qid=1692725196,,
68,,,,bags for travelling,/s/?k=bags+for+travelling&ref=sugsr_1&pd_rd_w=bt7BV&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=B77G7YVW1N4HY5ERT0ZW&pd_rd_wg=u3r8p&pd_rd_r=013783ab-d370-4d83-bb84-e5a191c8f086&qid=1692725196,,
